-0.05,-0.03,0.99,-2.62,-1.63,80.66
0.01,-0.02,1.00,0.70,-0.99,84.89
0.17,-0.05,0.98,9.94,-2.92,79.41
0.17,-0.04,0.99,9.61,-2.33,80.18
0.28,-0.06,0.97,15.99,-3.55,76.25
0.29,0.00,0.95,16.79,0.19,71.05
0.37,-0.02,0.92,21.42,-1.07,66.63
0.38,-0.02,0.90,22.37,-1.43,64.21
0.36,-0.03,0.93,20.85,-1.60,68.07
0.35,-0.03,0.92,20.63,-1.96,66.96
0.28,-0.04,0.95,16.37,-2.20,72.27
0.06,-0.04,0.96,3.56,-2.28,73.36
-0.04,-0.06,0.97,-2.39,-3.19,76.19
-0.10,-0.02,0.99,-5.83,-1.41,80.86
-0.11,-0.01,0.99,-6.57,-0.56,80.16
-0.12,-0.00,0.98,-7.03,-0.11,79.73
-0.12,-0.00,0.99,-6.97,-0.26,80.06
-0.12,-0.00,0.98,-7.02,-0.07,79.46
-0.12,-0.00,0.98,-7.08,-0.02,79.93
-0.12,-0.00,0.98,-7.03,-0.01,79.44
-0.12,0.00,0.98,-7.06,0.00,79.81
-0.12,-0.00,0.98,-7.13,-0.00,79.60
-0.12,0.00,0.98,-7.07,0.13,80.04
-0.12,0.00,0.98,-7.12,0.08,79.54
-0.12,0.00,0.98,-7.13,0.04,79.65
-0.12,0.00,0.98,-7.08,0.09,79.94
-0.13,0.00,0.98,-7.29,0.02,79.56
-0.13,0.00,0.98,-7.53,0.27,79.67
-0.13,0.00,0.98,-7.48,0.18,79.65
-0.14,0.00,0.98,-7.91,0.28,78.05
-0.13,-0.01,0.99,-7.31,-0.37,80.25
-0.08,-0.02,1.02,-4.83,-1.37,90.00
0.07,-0.02,0.99,3.76,-1.26,80.86
0.27,-0.03,0.92,15.55,-1.78,66.58
0.47,0.02,0.88,28.14,1.11,61.53
0.48,0.02,0.85,28.94,1.14,58.62
0.47,0.03,0.88,28.27,1.59,61.38
0.49,0.02,0.86,29.37,1.22,59.60
0.47,0.02,0.87,27.91,1.06,60.83
0.47,0.02,0.87,27.80,1.05,60.12
0.46,0.03,0.87,27.58,1.72,60.82
0.48,0.02,0.86,28.41,1.04,59.87
0.49,0.02,0.86,29.28,0.95,59.23
0.47,0.02,0.87,28.02,0.91,60.60
0.47,0.02,0.88,27.75,0.87,61.27
0.38,0.02,0.92,22.15,1.28,66.22
0.24,-0.02,0.96,14.11,-1.34,74.37
0.01,0.02,0.97,0.49,1.43,75.96
-0.09,0.00,0.99,-5.41,0.10,82.04
-0.12,-0.00,0.99,-7.06,-0.23,81.79
-0.13,-0.02,0.98,-7.23,-0.94,79.06
-0.13,-0.01,0.98,-7.18,-0.61,78.96
-0.12,-0.01,0.99,-6.88,-0.68,80.58
-0.13,-0.01,0.99,-7.34,-0.59,80.73
-0.13,-0.01,0.98,-7.32,-0.42,79.26
-0.13,-0.01,0.98,-7.26,-0.69,79.63
-0.13,-0.01,0.98,-7.35,-0.47,79.73
-0.13,-0.01,0.99,-7.27,-0.70,80.47
-0.13,-0.01,0.98,-7.28,-0.59,79.87
-0.13,-0.01,0.98,-7.42,-0.60,79.65
-0.13,-0.01,0.98,-7.45,-0.58,79.87
-0.13,-0.01,0.98,-7.40,-0.54,79.75
-0.13,-0.01,0.98,-7.44,-0.52,79.44
-0.13,-0.01,0.98,-7.44,-0.55,79.58
